id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parkingSpaceCount_indoor,parkingSpaceCount_outdoor,condition_isNewlyBuilt
1882546,house,house,97410,for sale,8420,m,usa installed,2016,as new,gas,,2,155,,,110,true,,,,,
2070520,house,villa,no price,for sale,2950,l,,2009,good,gas,,4,2400,,,,,true,,,,
2083530,house,villa,725000,for sale,03042,xl,,1990,,,,7,2129,,true,,true,,true,,,
2573581,apartment,flat studio,no price,for sale,2440,m,,2010,,,,0,,,,,,,,,,
2573644,apartment,apartment,no price,for sale,3980,m,,2009,,,,2,,,,,,true,,,,
2784938,house,house,101900,for sale,8301,m,installed,2018,as new,gas,,2,170,,,120,true,,,,,1
3218445,land,building land,223000,for sale,62152,m,,,,,,,1784,,,,,,,,,
3303247,house,villa,no price,for sale,2970,l,,2012,,,,5,2532,,,,true,true,,,,
3541140,land,building land,no price,for sale,2970,l,,,,,,,3828,,,,,,,,,
3613518,apartment,flat studio,no price,for sale,8301,m,hyper equipped,,as new,gas,131,0,,,,,,,,,,
3617717,land,building land,85000,for sale,3454,m,,,,,,,969,,,,,,,,,
3622649,house,house,no price,for sale,8770,m,,,as new,,596,4,492,,true,,true,,,,,
3691615,commercial,business,395000,for sale,8300,xl,,,as new,,,,76,,,,,,,,,
3779703,house,villa,no price,for sale,1700,m,installed,1994,as new,gas,202,5,1460,,,,true,true,,,,
3829592,apartment,ground floor,no price,for sale,1030,m,usa hyper equipped,,just renovated,,331,3,,,,70,,,,,,
3841341,apartment group,apartment group,no price,for sale,8300,m,,,,,,,,,,,,,,,,
3841346,apartment unit,apartment unit,no price,for sale,8300,m,,2016,good,,,3,,,true,,true,,,,,
3841347,apartment unit,apartment unit,no price,for sale,8300,m,,2014,good,,,3,,,,,true,,,,,
3880650,apartment,apartment,302950,for sale,9450,xl,,,,,,3,,,,,,,,,,
3897349,land,building land,2500000,for sale,7160,m,,,,,,,14957,,,,,,,,,
3903180,house,villa,no price,for sale,2900,l,,2007,good,gas,,4,2000,,,,,,,,,
3947116,house,villa,no price,for sale,2900,l,installed,1975,good,,337,5,2622,,true,2622,,true,,,,
3956676,house,house,no price,for sale,8770,m,,,,,402,3,723,,true,,true,,,,,
4079236,apartment,apartment,no price,for sale,8400,xl,,1998,good,,128,2,,,,,true,,,,,
4089845,house,house,no price,for sale,9000,m,,,to be done up,,398,2,40,,,,,,,,,
4113504,commercial,business,no price,for sale,9820,m,,,,,314,,3458,,,,,,,,,
4132492,apartment,apartment,210000,for sale,2140,m,semi equipped,,to be done up,,250,1,,,,,,,,,,
4183567,apartment,apartment,no price,for sale,8400,m,,,good,,,3,,,,,true,,,,,
4274658,land,building land,86000,for sale,7941,m,,,,,,,900,,,,,,,,,
4329019,house,villa,no price,for sale,2970,l,,1989,good,,,4,4011,,true,,,true,,,,
4459884,land,building land,no price,for sale,2900,l,,,,,,,3459,,,,,,,,,
4481561,land,building land,75000,for sale,6670,m,,,,,,,1860,,,,,,,,,
4503569,house,villa,no price,for sale,1740,m,installed,1988,as new,gas,,4,1239,true,true,,true,true,,,,
4556434,land,building land,175000,for sale,6674,m,,,,,,,7897,,,,,,,,,
4594807,land,building land,70000,for sale,6940,m,,,,,,,1000,,,,,,,,,
4599029,land,building land,75000,for sale,6830,xl,,,,,,,0,,,,,,,,,
4611027,apartment,duplex,895000,for sale,1060,xl,usa hyper equipped,,as new,gas,179,3,,,,,true,,,,,
4614118,house,villa,no price,for sale,8020,xl,,1981,good,,,4,1163,,,,true,true,,,,
4614119,house,house,no price,for sale,8310,xl,,1965,good,,,5,533,,true,,true,,,,,
4648115,commercial,business,no price,for sale,4280,l,,2003,as new,gas,,,0,,true,,,,,,,
4666144,land,building land,105000,for sale,3990,xl,,,,,,,459,,,,,,,,,
4671821,land,building land,58000,for sale,4970,m,,,,,,,981,,,,,,,,,
4679861,house,house,330000,for sale,8400,m,installed,,good,,192,1,65,,,,true,,,,,
4679862,apartment,flat studio,no price,for sale,8400,m,,,good,,176,0,,,true,,,,,,,
4696209,land,building land,295000,for sale,1853,l,,,,,,,1434,,,,,,,,,
4711417,house,villa,no price,for sale,2970,l,,1998,good,,,6,8208,,true,,true,true,,,,
4718207,house,villa,no price,for sale,2900,l,,1905,to renovate,fueloil,,8,33000,,true,,,,,,,
4725059,house group,house group,no price,for sale,8670,xl,,,,,,,,,,,,,,,,
4725060,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,201,,,155,true,,,,,
4725061,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,3,0,,,,true,,,,,
4725062,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,0,,,,true,,,,,
4725063,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,3,0,,,,true,,,,,
4725064,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,0,,,,true,,,,,
4725065,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,3,0,,,,true,,,,,
4725066,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,0,,,,true,,,,,
4725067,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,0,,,,true,,,,,
4725068,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,145,,,99,true,,,,,
4725069,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,140,,,94,true,,,,,
4725070,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,147,,,98,true,,,,,
4725071,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,146,,,100,true,,,,,
4725072,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,146,,,97,true,,,,,
4725073,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,146,,,97,true,,,,,
4725074,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,147,,,97,true,,,,,
4725075,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,3,163,,,117,true,,,,,
4725076,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,3,162,,,116,true,,,,,
4725077,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,160,,,111,true,,,,,
4725078,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,3,158,,,112,true,,,,,
4725079,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,156,,,110,true,,,,,
4725080,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,155,,,109,true,,,,,
4725081,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,3,152,,,106,true,,,,,
4725082,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,133,,,87,true,,,,,
4725083,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,2,144,,,95,true,,,,,
4725084,house unit,manor house unit,no price,for sale,8670,xl,installed,2013,as new,,,3,0,,,,true,,,,,
4752209,house,house,no price,for sale,8300,xl,,1978,,,510,2,194,,true,,,,,,,
4791055,land,building land,110000,for sale,3740,m,,,,,,,467,,,,,,,,,
4849669,house,house,no price,for sale,8450,xl,,,as new,,484,2,187,,,,true,,,,,
4860677,apartment group,apartment group,no price,for sale,9400,m,,,,,,,,,,,,,,,,
4860757,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,1,,,,,true,,,,,
4860809,apartment unit,ground floor unit,no price,for sale,9400,m,installed,,,gas,,2,,,,73,true,,,,,
4860810,apartment unit,ground floor unit,no price,for sale,9400,m,installed,,,gas,,2,,,,73,true,,,,,
4860848,apartment unit,ground floor unit,no price,for sale,9400,m,installed,,,gas,,2,,,,65,true,,,,,
4860849,apartment unit,ground floor unit,no price,for sale,9400,m,installed,,,gas,,2,,,,65,true,,,,,
4860898,apartment unit,ground floor unit,no price,for sale,9400,m,installed,,,gas,,2,,,,154,true,,,,,
4863347,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,,,true,,,,,
4863351,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,,,true,,,,,
4863352,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,,,true,,,,,
4863355,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,,,true,,,,,
4863356,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,,,true,,,,,
4863358,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,,,true,,,,,
4863360,apartment unit,penthouse unit,no price,for sale,9400,m,installed,,,gas,,2,,,,,true,,,,,
4863362,apartment unit,penthouse unit,no price,for sale,9400,m,installed,,,gas,,2,,,,,true,,,,,
4863368,apartment unit,penthouse unit,no price,for sale,9400,m,installed,,,gas,,2,,,,,true,,,,,
4866889,land,forest,325000,for sale,89380,m,,,,,,,510495,,,,,,,,,
4907245,house,house,no price,for sale,9620,m,,,,,,3,29714,,,,,,,,,
4936836,house,house,no price,for sale,8377,xl,,2014,,,,3,364,,,,true,,,,,
4987867,house,house,no price,for sale,8770,m,,1950,to be done up,,280,3,0,,true,,true,,,,,
5000992,commercial,commercial premises,125000,for sale,8000,xl,,,good,,,,0,,,,,,,,,
5002287,apartment group,apartment group,no price,for sale,9400,m,,,,,,,,,,,,,,,,
5002360,apartment unit,ground floor unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,71,true,,,,,
5002361,apartment unit,ground floor unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,73,true,,,,,
5002362,apartment unit,ground floor unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,71,true,,,,,
5002363,apartment unit,ground floor unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,73,true,,,,,
5002415,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,,true,,,,,
5002416,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,,true,,,,,
5002417,apartment unit,apartment unit,no price,for sale,9400,m,,,,gas,,2,,,true,,true,,,,,
5002418,apartment unit,apartment unit,no price,for sale,9400,m,,,,gas,,2,,,true,,true,,,,,
5002447,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,,true,,,,,
5002448,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,,true,,,,,
5002449,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,,true,,,,,
5002450,apartment unit,apartment unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,,true,,,,,
5002478,apartment unit,penthouse unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,,true,,,,,
5002479,apartment unit,penthouse unit,no price,for sale,9400,m,installed,,,gas,,2,,,true,,true,,,,,
5007954,apartment,duplex,no price,for sale,2970,l,,2012,good,,122,3,,,,,true,,,,,
5009346,house,villa,no price,for sale,2970,l,installed,1998,good,gas,194,6,2100,,,,true,,,,,
5012038,land,meadow,40000,for sale,6181,m,,,,,,,10469,,,,,,,,,
5046409,apartment group,apartment group,no price,for sale,3200,m,,,,,,,,,,,,,,,,
5046410,apartment unit,apartment unit,no price,for sale,3200,m,installed,2013,as new,gas,,2,,,,,,,,,,
5046411,apartment unit,duplex unit,no price,for sale,3200,m,installed,2013,as new,gas,,3,,,,,true,,,,,
5046412,apartment unit,ground floor unit,no price,for sale,3200,m,installed,2013,as new,gas,,2,,,,,true,,,,,
5055347,land,building land,60000,for sale,5020,m,,,,,,,965,,,,,,,,,
5075537,apartment,service flat,175000,for sale,3530,m,installed,2014,good,gas,,1,,,,,true,,,,,1
5084066,house,house,no price,for sale,8340,xl,,1979,,,,3,262,,,,,,,,,
5084074,house,house,no price,for sale,8380,xl,installed,1930,good,,,4,278,,,75,,,,,,
5092478,house,house,no price,for sale,8310,xl,,,,,,4,79,,,,true,,,,,
5101640,apartment,apartment,no price,for sale,8370,xl,,2014,,,70,2,,,,,true,,,,,
5104542,house,villa,no price,for sale,8380,xl,,1973,,fueloil,,3,2853,,true,2300,,,,,,
5170127,apartment,duplex,no price,for sale,1500,xl,,2014,good,,,3,,,,,,,,,,
5170128,apartment,duplex,no price,for sale,1500,xl,,,good,,,2,,,,,,,,,,
5176270,house,house,no price,for sale,8310,xl,,,to renovate,,,2,0,,,,,,,,,
5189388,apartment,penthouse,no price,for sale,3700,l,semi equipped,2014,,,,3,,,,,true,,,,,
5189389,commercial,business,no price,for sale,3700,l,,2014,,,,,0,,true,,true,,,,,
5223326,house,house,no price,for sale,9950,xl,,2014,good,,70,4,0,,,,,,,,,
5253450,house,house,no price,for sale,1745,xl,installed,1935,to be done up,gas,779,4,660,true,,,,,,,,
5256722,house,house,no price,for sale,4430,l,,,,,496,2,0,,,,,,,,,
5257824,house,house,no price,for sale,8000,xl,,,,,,2,71,,,,,,,,,
5261719,land,building land,590000,for sale,6531,m,,,,,,,0,,,,,,,,,
5263625,house,house,no price,for sale,9200,xl,,1936,to renovate,fueloil,1085,3,450,true,true,,,,,,,
5301376,house,villa,no price,for sale,1082,m,semi equipped,,good,fueloil,437,6,590,true,true,,,true,,,,
5306031,house,villa,no price,for sale,2970,l,,2008,as new,,192.49,0,5496,,,,,,,,,
5307736,house,house,no price,for sale,1500,xl,,,good,,,2,0,,,,,,,,,
5307737,house,house,no price,for sale,1500,xl,,2014,good,,,3,0,,,,,,,,,
5323059,apartment group,apartment group,no price,for sale,3200,m,,,,,,,,,,,,,,,,
5323060,apartment unit,penthouse unit,no price,for sale,3200,m,installed,2016,as new,gas,119,3,,,,,true,,,,,
5323061,apartment unit,apartment unit,no price,for sale,3200,m,installed,2015,as new,gas,,1,,,,,true,,,,,
5323063,apartment unit,apartment unit,no price,for sale,3200,m,installed,2015,as new,gas,,1,,,,,true,,,,,
5323064,apartment unit,apartment unit,no price,for sale,3200,m,installed,2015,as new,gas,,3,,,,,true,,,,,
5323065,apartment unit,apartment unit,no price,for sale,3200,m,installed,2015,as new,gas,,2,,,,,true,,,,,
5323066,apartment unit,apartment unit,no price,for sale,3200,m,installed,2015,as new,gas,,3,,,,,true,,,,,
5323067,apartment unit,apartment unit,no price,for sale,3200,m,installed,2015,as new,gas,,2,,,,,true,,,,,
5323069,apartment unit,ground floor unit,no price,for sale,3200,m,installed,2015,as new,gas,,3,,,,,true,,,,,
5323070,apartment unit,ground floor unit,no price,for sale,3200,m,installed,2015,as new,gas,,2,,,,,true,,,,,
5323162,land,building land,58000,for sale,4900,m,,,,,,,981,,,,,,,,,
5345822,house,house,95000,for sale,00099,m,installed,2014,as new,,,2,350,,,,true,,,,,
5368809,land,building land,130000,for sale,5650,m,,,,,,,2781,,,,,,,,,
5386838,commercial,business,5500000,for sale,6001,m,,,,,,,0,,,,,,,,,
5401054,house,house,no price,for sale,4032,l,,,,,941,4,0,,,,,,,,,
5425480,apartment,apartment,no price,for sale,8300,l,,,,,,2,,,,,true,,,,,
5427425,house,villa,no price,for sale,8377,xl,,2014,,,,4,2000,,,,true,,,,,
5436660,apartment,apartment,no price,for sale,8300,xl,,1981,as new,,294,3,,,,,true,,,,,
5436865,house,house,no price,for sale,4030,l,,,,,292,3,0,,,,,,,,,
5438510,apartment group,apartment group,no price,for sale,2000,xl,,,,,,,,,,,,,,,,
5438511,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438512,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438514,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438515,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438516,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438517,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438518,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438519,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438520,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438521,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,1,,,,,true,,,,,
5438522,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438523,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438524,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438525,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438526,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438527,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438528,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438529,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438530,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438531,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438532,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438533,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438534,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438535,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438536,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,1,,,,,true,,,,,
5438537,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438538,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438539,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438540,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438541,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438542,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438543,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438544,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438545,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,true,,,,
5438546,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438547,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438548,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438549,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438551,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438554,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438556,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,3,,,,,true,,,,,
5438558,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,1,,,,,true,,,,,
5438560,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438562,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438563,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438564,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438565,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5438566,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,1,,,,,true,,,,,
5438567,apartment unit,apartment unit,no price,for sale,2000,xl,,2015,,,,2,,,,,true,,,,,
5440684,house,house,no price,for sale,1500,xl,,,,,,2,100,,,,,,,,,
5446810,house,house,no price,for sale,9280,xl,hyper equipped,1968,to renovate,fueloil,378,3,376,,,,true,true,,,,
5462171,apartment,apartment,no price,for sale,3530,l,,2016,as new,,,2,,,true,1300,true,,,,,
5462172,apartment,apartment,no price,for sale,3530,l,,2016,as new,,,2,,,true,1300,true,,,,,
5462173,apartment,apartment,no price,for sale,3530,l,,2016,as new,,,2,,,true,1300,true,,,,,
5462174,apartment,apartment,no price,for sale,3530,l,,2016,as new,,,2,,,true,1300,true,,,,,
5462177,apartment,apartment,no price,for sale,3530,l,,2016,as new,,,2,,,true,1300,true,,,,,
5466522,apartment,apartment,no price,for sale,1840,xl,,1971,good,fueloil,584,3,,,,,true,,,,,
5471946,land,building land,41000,for sale,8587,xl,,,,,,,296,,,,,,,,,
5478378,commercial,business,no price,for sale,8400,m,,,to be done up,,,,0,,,,,,,,,
5515920,house,house,no price,for sale,9050,m,,1932,,,,3,87,,true,,,true,,,,
5547253,house,house,no price,for sale,4032,l,,,as new,,552,3,0,,,,,,,,,
5585930,apartment,apartment,no price,for sale,3530,l,,2016,as new,,,2,,,true,1300,true,,,,,
5599794,house,chalet,no price,for sale,6660,l,,1974,as new,electric,452,2,9020,,,,true,,,,,
5612533,office,offices,no price,for sale,1500,xl,,,,,,,0,,,,,,,,,
5612534,garage,lock up garage,no price,for sale,1500,xl,,,,,,,,,,,,,,,,
5614712,land,building land,no price,for sale,7850,xl,,,,,,,3624,,,,,,,,,
5630472,garage,covered parking space,no price,for sale,8400,m,,2013,,,,,,,,,,,,,,
5643529,apartment group,apartment group,no price,for sale,8300,m,,,,,,,,,,,,,,,,
5643534,apartment unit,apartment unit,no price,for sale,8300,m,,2017,good,,,2,,,true,,true,,,,,
5643535,apartment unit,apartment unit,no price,for sale,8300,m,,2017,good,,,2,,,true,,true,,,,,
5643537,apartment unit,apartment unit,no price,for sale,8300,m,,2017,good,,,2,,,true,,true,,,,,
5643542,apartment unit,apartment unit,no price,for sale,8300,m,,2017,good,,,2,,,true,,true,,,,,
5643545,apartment unit,apartment unit,no price,for sale,8300,m,,2017,good,,,2,,,true,,true,,,,,
5643546,apartment unit,duplex unit,no price,for sale,8300,m,,2017,good,,,3,,,true,,true,,,,,
5643547,apartment unit,duplex unit,no price,for sale,8300,m,,2017,good,,,3,,,true,,true,,,,,
5643548,apartment unit,duplex unit,no price,for sale,8300,m,,2017,good,,,3,,,true,,true,,,,,
5643549,apartment unit,duplex unit,no price,for sale,8300,m,,2017,good,,,3,,,true,,true,,,,,
5645239,house,mansion,no price,for sale,9000,m,,1930,to renovate,gas,518,6,105,,true,,,,,,,
5650273,house,apartment block,535000,for sale,3650,m,installed,1988,,gas,105,6,0,,,,,,,,,
5655695,industry,warehouse,no price,for sale,8400,m,,2015,good,,,,0,,,,,,,,,
5659113,apartment,apartment,no price,for sale,8670,xl,installed,1976,good,fueloil,342,1,,,,,,,,,,
5667505,industry,industrial premises,no price,for sale,8680,xl,,2010,,fueloil,,,477,,,,,,,,,
5673379,apartment,apartment,no price,for sale,8200,xl,,,good,,352,2,,,,,,,,,,
5681601,house,house,no price,for sale,4877,l,,,,,542,4,0,,,,,,,,,
5682723,commercial,business,no price,for sale,8420,xl,,1995,as new,electric,,,0,,,,,,,,,
5686349,house,house,no price,for sale,4030,l,,,,,540,3,0,,,,,,,,,
5704022,house,house,no price,for sale,4280,l,installed,2005,as new,fueloil,166,4,1156,true,true,,true,true,,,,
5710374,house,villa,no price,for sale,4053,l,,,,,626,3,0,,,,,,,,,
5737045,house,house,no price,for sale,4030,l,,,,,421,3,0,,,,,,,,,
5741067,industry,industrial premises,no price,for sale,8470,xl,,2010,as new,gas,,,451,,,,,,,,,
5741415,house,house,no price,for sale,4032,l,,,,,143,3,0,,,,,,,,,
5745713,house,villa,no price,for sale,9090,m,,1984,good,electric,637,4,960,,,,,,,,,
5756259,house,villa,no price,for sale,1670,xl,,,,,468,5,3158,,,,,,,,,
5791973,apartment,apartment,no price,for sale,1500,xl,,2009,,,165.79,2,,,,,,,,,,
5792025,apartment,apartment,no price,for sale,3530,l,,2016,as new,,,3,,,true,1300,true,,,,,
5794163,house,house,no price,for sale,1500,xl,,,,,223,4,100,,,,,,,,,
5800834,garage,covered parking space,25000,for sale,2018,m,,,,,,,,,,,,,,,,
5801369,house,exceptional property,no price,for sale,3400,l,installed,1994,as new,fueloil,342,5,2878,,true,,true,true,,,,
5812464,house,house,no price,for sale,8000,xl,,,as new,,,4,66,,,,,,,,,
5814604,house,house,no price,for sale,8000,xl,,1945,as new,,494,3,45,,,,true,,,,,
5816950,industry,industrial premises,no price,for sale,8800,xl,,,,,,,178,,,,,,,,,
5835286,apartment,flat studio,no price,for sale,8420,xl,,1974,,gas,279,0,,,,,true,,true,,,
5844815,house,house,no price,for sale,1600,xl,,1959,,,,2,0,,true,,,,,,,
5844816,house,house,no price,for sale,1600,xl,,1959,,,,2,0,,true,,,,,,,
5852254,apartment,apartment,no price,for sale,8380,xl,,2013,good,,,2,,,true,,true,,,,,
5854621,house,house,no price,for sale,1502,xl,,,,,,2,267,,,180,true,true,,,,
5857995,house,house,no price,for sale,4050,l,,,,,486,3,0,,,,,,,,,
5858553,house,house,no price,for sale,1500,xl,installed,,,,,3,0,,true,,true,true,,,,
5865148,house,farmhouse,no price,for sale,4317,l,installed,1800,good,fueloil,381,4,3557,true,true,,true,,,,,
5874154,house,house,no price,for sale,1745,xl,,1961,good,fueloil,442,3,350,,true,,,,,,,
5875522,house,house,no price,for sale,1600,xl,,,,,,5,0,,,,true,,,,,
5875526,house,house,no price,for sale,8200,xl,,1961,good,gas,,3,455,,,,,,,,,
5881039,house,house,no price,for sale,9990,xl,,,just renovated,,,2,240,,,,,,,,,
5882802,house,house,no price,for sale,1500,xl,,,to renovate,,,3,0,,,,,,,,,
5888069,land,building land,no price,for sale,9660,xl,,,,,,,555,,,,,,,,,
5897083,house,house,no price,for sale,1501,xl,,,,,209,3,477,,,,,,,,,
5898830,house,house,no price,for sale,1500,xl,,,,,,2,267,,,180,true,true,,,,
5898834,apartment,apartment,no price,for sale,2900,l,,2008,good,,,3,,,,500,,,,,,
5909223,house,house,no price,for sale,4032,l,,,,,617,3,0,,,,,,,,,
5911045,house,house,no price,for sale,1500,xl,,,to be done up,,421,3,194,,true,,,,,,,
5913723,house,house,no price,for sale,1600,xl,,,,,,5,431,,,,true,true,,,,
5917305,house,house,no price,for sale,8300,xl,hyper equipped,2002,as new,,180,4,258,,,,true,true,,,,
5919748,house,house,no price,for sale,1651,xl,,1968,,,429,3,7806,,,,,,,,,
5925811,apartment,apartment,no price,for sale,8300,xl,,2015,,,,2,,,,,true,,,,,
5928100,apartment group,apartment group,174000 - 377000,for sale,7500,m,,,,,,,,,,,,,,,,1
5928102,commercial unit,business unit,198850,for sale,7500,m,semi equipped,,,,,,0,,,,,,,,,1
5928103,commercial unit,business unit,184300,for sale,7500,m,semi equipped,,,,,,0,,,,,,,,,1
5928104,commercial unit,business unit,174000,for sale,7500,m,semi equipped,,,,,,0,,,,,,,,,1
5928115,commercial unit,business unit,377000,for sale,7500,m,semi equipped,,,,,,0,,,,,,,,,1
5940616,house,house,no price,for sale,1500,xl,,1958,,,,3,193,,,,,,,,,
5948758,land,building land,255000,for sale,7730,m,,,,,,,3876,,,,,,,,,
5957584,house,villa,no price,for sale,2900,l,,1999,good,,234,5,1479,,true,1479,true,true,,,,
